Date Time,time (s),int,temp (degC),rh (%),lumen1 (nm),lumen2 (nm)
03.01.2009 12:00:00,360,1,20.49,42.332,187.14,496.8
03.01.2009 12:10:00,360,3,20.46,38.768,198.57,556.6
03.01.2009 12:20:00,360,4,20.74,40.023,217.14,671.6
03.01.2009 12:30:00,363,2,20.88,40.793,172.86,565.8
03.01.2009 12:40:00,364,1,20.49,42.332,188.57,496.8
03.01.2009 12:50:00,364,3,20.46,38.727,197.14,552.0
03.01.2009 13:00:00,364,4,20.74,40.023,217.14,657.8
03.01.2009 13:10:00,367,2,20.88,40.752,172.86,556.6
03.01.2009 13:20:00,368,4,20.75,39.983,212.86,676.2
03.01.2009 13:30:00,369,3,20.46,38.727,198.57,561.2
03.01.2009 13:40:00,369,1,20.48,42.332,187.14,492.2
03.01.2009 13:50:00,371,2,20.88,40.752,174.29,556.6
03.01.2009 14:00:00,372,4,20.73,39.983,217.14,653.2
03.01.2009 14:10:00,372,1,20.49,42.332,187.14,492.2
03.01.2009 14:20:00,372,3,20.46,38.727,198.57,552.0
03.01.2009 14:30:00,374,2,20.88,40.752,171.43,552.0
03.01.2009 14:40:00,376,3,20.46,38.687,198.57,547.4
03.01.2009 14:50:00,376,4,20.74,39.983,218.57,662.4
03.01.2009 15:00:00,377,1,20.48,42.332,185.71,492.2
03.01.2009 15:10:00,379,2,20.88,40.752,171.43,547.4
03.01.2009 15:20:00,380,1,20.49,42.332,187.14,496.8
03.01.2009 15:30:00,381,4,20.74,39.983,215.71,662.4
03.01.2009 15:40:00,381,3,20.46,38.727,198.57,552.0
03.01.2009 15:50:00,383,2,20.88,40.793,172.86,552.0
03.01.2009 16:00:00,384,1,20.47,42.332,187.14,496.8
03.01.2009 16:10:00,384,4,20.74,39.983,214.29,662.4
03.01.2009 16:20:00,385,3,20.47,38.727,197.14,552.0
03.01.2009 16:30:00,387,2,20.88,40.793,172.86,552.0
03.01.2009 16:40:00,389,4,20.74,39.983,217.14,657.8
03.01.2009 16:50:00,389,1,20.49,42.332,187.14,496.8
03.01.2009 17:00:00,389,3,20.46,38.727,202.86,542.8
03.01.2009 17:10:00,391,2,20.88,40.752,170.0,542.8
03.01.2009 17:20:00,392,3,20.47,38.727,195.71,552.0
03.01.2009 17:30:00,393,4,20.74,39.983,212.86,662.4
03.01.2009 17:40:00,393,1,20.48,42.332,187.14,492.2
03.01.2009 17:50:00,394,2,20.88,40.752,171.43,547.4
03.01.2009 18:00:00,396,4,20.74,39.983,214.29,662.4
03.01.2009 18:10:00,396,3,20.47,38.687,197.14,547.4
03.01.2009 18:20:00,396,1,20.48,42.332,187.14,492.2
03.01.2009 18:30:00,399,2,20.87,40.752,172.86,556.6
03.01.2009 18:40:00,401,1,20.48,42.332,187.14,492.2
03.01.2009 18:50:00,401,3,20.47,38.727,197.14,547.4
03.01.2009 19:00:00,401,4,20.74,39.983,212.86,662.4
03.01.2009 19:10:00,403,2,20.87,40.793,172.86,547.4
03.01.2009 19:20:00,404,4,20.74,39.983,217.14,653.2
03.01.2009 19:30:00,404,3,20.48,38.727,195.71,547.4
03.01.2009 19:40:00,405,1,20.48,42.332,187.14,492.2
03.01.2009 19:50:00,407,2,20.88,40.793,171.43,547.4
